Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['Action', 'Adventure']","When Max Caulfield finds her friend Safi dead in the snow, she tears open the way to a parallel timeline. Here, Safi is still alive - and still in danger! With her new power to Shift between two timelines can Max solve and prevent the same murder?",12,25,Intel Core i5-2400,FX-6300,NVIDIA GeForce GTX 960,Radeon RX 470,NVIDIA GeForce GTX 960,19102,4223,6115,7960,6115,Life is Strange: Double Exposure
"['Action', 'Adventure']","MindsEye is a narrative driven, single-player action-adventure thriller set in the near-future fictional desert city of Redrock. Featuring best-in-class cinematics, high octane driving, and explosive combat from game director, Leslie Benzies.",16,70,Intel Core i5-12400F,Ryzen 5 5600X,NVIDIA GeForce RTX 2060,Radeon RX 5600 XT,NVIDIA GeForce RTX 2060,19475,21862,14116,13483,14116,MindsEye
"['Action', 'Free to Play', 'FPS']","Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",0,15,Intel Pentium 4 1.70GHz,Intel Pentium 4 1.70GHz,AMD Radeon X1600,AMD Radeon X1600,AMD Radeon X1600,86,86,49,49,49,Team Fortress 2
"['Action', 'Casual', 'Indie']","Youre a survivor in the zombie infested ruins of society, and must work with your friends and forge alliances to remain among the living.",4,4,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,,,Intel HD 3000,594,594,260,260,260,Unturned
"['Action', 'Strategy', 'Indie']","Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland Followers and spread your Word to become the one true cult.",4,4,Intel Core i3-3240,Intel Core i3-3240,AMD Radeon HD 7750,AMD Radeon HD 7750,AMD Radeon HD 7750,2344,2344,1692,1692,1692,Cult of the Lamb
"['Action', 'Strategy', 'RPG']","EVE Online is a free-to-play community driven space MMO where players can choose their own path from countless different options. Experience space exploration, immense PvP and PvE battles, mining, industry and a thriving player economy in an ever-expanding sandbox.",2,20,Intel Core 2 Duo T5750,Intel Core 2 Duo T5750,NVIDIA GeForce 8600 GTS,NVIDIA GeForce 8600 GTS,NVIDIA GeForce 8600 GTS,594,594,169,169,169,EVE Online
"['Action', 'Strategy', 'Indie']","Call to Arms - Gates of Hell is a realistic RTS/ RTT game that offers endless replay value. Command all types of troops in historical singleplayer, dynamic campaign, PvP and PvE battles. Are you ready for some serious immersion in World War 2?",16,75,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,594,594,13498,13498,13498,Gates of Hell
"['Casual', 'Indie', 'Simulation']","Clean your worries away with this relaxing renovation simulator! Buy, fix, sell, and become a local legend. Or grab your power tools and build anything from scratch! With the online 2-4 players co-op mode, you can play both in sandbox and story mode together.",8,20,Intel Core i5-8400,Ryzen 5 1600,NVIDIA GeForce GTX 970,Radeon RX 580,NVIDIA GeForce GTX 970,19102,12275,9642,8822,9642,House Flipper 2
"['Action', 'Indie', 'Adventure']","Plunge into the open-world survival simulation set in the extreme conditions of the uncharted Amazon jungle. Use real-life survival techniques to craft, hunt, fight, and gather resources, set a makeshift shelter, or raise a fortress. Survive alone or team up with your friends and challenge the jungle together.",4,8,Intel Core 2 Duo E8700,Intel Core 2 Duo E8700,AMD Radeon RX 460,AMD Radeon RX 460,AMD Radeon RX 460,594,594,4092,4092,4092,Green Hell
"['Strategy', 'RPG', 'Free to Play']","Hello Commanders, Please board the Elmo and set off into the breaking dawn.",8,35,Intel Core i5-12400T,Intel Core i5-12400T,AMD Radeon HD 7790,AMD Radeon HD 7790,AMD Radeon HD 7790,15854,15854,3090,3090,3090,GIRLS' FRONTLINE 2: EXILIUM
"['Action', 'Adventure', 'FPS']",(Release: 2014) Special agent Leon S. Kennedy is sent on a mission to rescue the U.S. President s daughter who has been kidnapped.,2,15,Intel Core 2 Duo E4600,Intel Core 2 Duo E4600,ATI Radeon HD 4850,ATI Radeon HD 4850,ATI Radeon HD 4850,594,594,941,941,941,resident evil 4 / biohazard 4
"['Action', 'Casual', 'Indie']","Soar the skies in Aloft, the co-op sandbox survival game set in a world of floating islands. Build any island into a skyship, your home in the clouds. Find lost knowledge, cure the fungal corruption, and brave the hurricane to restore the ecosystem.",16,12,Intel Core i5-8600K,Intel Core i5-8600K,,,,27629,27629,0,0,0,Aloft
"['Action', 'Fighting']",DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its all-powerful fighters.,4,6,Intel Core i5-3470,Intel Core i5-3470,AMD Radeon HD 6870,AMD Radeon HD 6870,AMD Radeon HD 6870,23679,23679,2208,2208,2208,DRAGON BALL FighterZ
"['Simulation', 'Early Access']",Ultra-Realistic Flight Simulation,8,23,Intel Core i5-12400T,Intel Core i5-12400T,,,,15854,15854,0,0,0,X-Plane 12
"['Casual', 'Indie', 'Adventure']","Its 1955, and for unknown reasons, doppelgangers are more common than usual. Therefore, the Department of Doppelganger Detection (D.D.D.) has taken action. You are the doorman of an apartment complex, and you must decide whether to let in those who claim to be your neighbors.",2,1,Intel Core i5-1300F,Intel Core i5-1300F,,,,25081,25081,0,0,0,That's not my Neighbor
"['Action', 'Adventure']","Fire up a wild ride across the cosmos with a fresh take on Marvel s Guardians of the Galaxy. In this action-adventure game, you are Star-Lord leading the unpredictable Guardians from one explosion of chaos to the next. You got this. Probably.",8,80,Intel Core i5-4460,Ryzen 5 1400,NVIDIA GeForce GTX 1060,Radeon RX 570,NVIDIA GeForce GTX 1060,25352,7735,10081,14336,10081,Marvel's Guardians of the Galaxy
['Unknown'],"Creating your own adorable anime character is a cinch! Use a robust suite of intuitive and precise tools to customize a character from the ground up, give her one of 30 different personality archetypes, and then get busy with a host of romantic options. Bring your dream waifu to laifu!",4,20,Intel Core i3-2340UE,Intel Core i3-2340UE,NVIDIA GeForce 8500 GT,NVIDIA GeForce 8500 GT,NVIDIA GeForce 8500 GT,976,976,155,155,155,コイカツ！ / Koikatsu Party
"['Strategy', 'Indie', 'Adventure']",Hello Neighbor is a Stealth Horror Game about sneaking into your neighbors house and figuring out what hes hiding in the basement. Play against an advanced AI that learns from your actions.,6,5,Intel Core i5-12400T,Intel Core i5-12400T,NVIDIA GeForce GTX 770,NVIDIA GeForce GTX 770,NVIDIA GeForce GTX 770,15854,15854,5941,5941,5941,Hello Neighbor
"['Sports', 'Simulation']","WWE 2K23 is Even Stronger with expanded features, gorgeous graphics and a deep roster of WWE Superstars and Legends. 2K Showcase returns as an interactive sports documentary focusing on the 20-year career of John Cena and WarGames is finally here!",8,80,Intel Core i5-3550,Intel Core i5-3550,AMD Radeon RX 480,AMD Radeon RX 480,AMD Radeon RX 480,31430,31430,8569,8569,8569,WWE 2K23
"['Action', 'RPG', 'Adventure']","Assemble your team of Earth s Mightiest Heroes, embrace your powers, and live your Super Hero dreams.",8,75,Intel Core i3-4160,Intel Core i3-4160,NVIDIA GeForce GTX 950,NVIDIA GeForce GTX 950,NVIDIA GeForce GTX 950,15300,15300,5343,5343,5343,Marvels Avengers
"['Action', 'Adventure']","The sequel to the award winning Hellblade: Senua s Sacrifice, Senua returns in a brutal journey of survival through the myth and torment of Viking Iceland. Intent on saving those who have fallen victim to the horrors of tyranny, Senua faces a battle of overcoming the darkness within and without.",16,70,Intel Core i5-8400,Ryzen 5 2600,NVIDIA GeForce GTX 1070,Radeon RX 5700,NVIDIA GeForce GTX 1070,19102,13167,13498,14336,13498,Senua’s Saga: Hellblade II
"['Action', 'Strategy']","Experience the free to play game that redefined the real-time strategy genre. Terran, Zerg, or Protoss the galaxy is yours to conquer.",2,30,Intel Core 2 Duo U7600,Intel Core 2 Duo U7600,AMD Radeon HD 2600 XT,AMD Radeon HD 2600 XT,AMD Radeon HD 2600 XT,594,594,282,282,282,Starcraft 2
"['RPG', 'MMO', 'Free to Play']","The 2011 game Star Wars: The Old Republic is a popular massively-multiplayer online game that has recently been updated with Onslaught a free to play option that lets you play as a Jedi, a Sith, a bounty hunter or many others in an age centuries before the classic movies. Make meaningful choices and become the hero of your very own Star Wars saga in an interactive storyline that comes with cinematic dialogue and full voiceover for all in-game characters. Gather your allies to face challenging encounters against enemy bosses in Flashpoints and Operations, or battle against other players in Player vs Player Warzones, Arenas, or Galactic Starfighter missions! Visit Hoth, Tatooine, Alderaan and over twenty other planets that offer thrilling adventures in a galaxy far, far away.",2,50,AMD Athlon 64 X2 4000+,AMD Athlon 64 X2 4000+,NVIDIA GeForce GT 610,NVIDIA GeForce GT 610,NVIDIA GeForce GT 610,340,340,324,324,324,Star Wars: The Old Republic
['Unknown'],"World of Warcraft: Classic is a faithful recreation of the original World of Warcraft. Combat mechanics, original character models, and skill trees all contribute to a truly authentic experience. WoW: Classic is an MMORPG and recreates the game in the state it was in before the release of the first expansion The Burning Crusade .",2,5,Intel Core 2 Duo E6600,Intel Core 2 Duo E6600,AMD Radeon HD 4850 X2,AMD Radeon HD 4850 X2,AMD Radeon HD 4850 X2,594,594,1132,1132,1132,World of Warcraft: Classic
['Unknown'],"Feel the thrill of the chase and the rush of escape behind the wheels of the world s hottest high-performance cars in Need for Speed Hot Pursuit Remastered a heart-pumping, socially competitive racing experience.",8,45,Intel Core i3-2120,Intel Core i3-2120,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,12419,12419,1318,1318,1318,Need for Speed Hot Pursuit Remastered
"['Casual', 'Indie', 'Adventure']","This is a game about buying groceries in a supermarket. No really, if you want the most realistic experience of buying groceries in a supermarket, then this is your game. You can even ride a trolley like you used to do as a kid.",4,5,Intel Core i5-3550,Ryzen 5 2500X,NVIDIA GeForce GTX 1050,Radeon R9 270X,NVIDIA GeForce GTX 1050,31430,9455,5030,4871,5030,Supermarket Simulator
"['Action', 'Strategy', 'Simulation']","Immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century from stealthy destroyers to gigantic battleships. Change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!",2,35,AMD Athlon II X2 215,AMD Athlon II X2 215,AMD Radeon HD 4650,AMD Radeon HD 4650,AMD Radeon HD 4650,998,998,248,248,248,World of Warships
"['Action', 'Indie', 'Adventure']","Brace yourself for an action-packed shooter experience in Mini Royale! Battle as green army toy soldiers in a massive kids bedroom, fighting for survival in modes like Battle Royale, Deathmatch, and more where only the strongest players or teams claim victory.",8,20,Intel Core i5-1300F,Intel Core i5-1300F,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,25081,25081,4806,4806,4806,Mini Royale
"['Indie', 'Simulation']","House Flipper is a unique chance to become a one-man renovation crew. Buy, repair and remodel devastated houses. Give them a second life and sell them at a profit!",4,6,AMD Phenom II X4 955,AMD Phenom II X4 955,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,2536,2536,2770,2770,2770,House Flipper
"['Action', 'Indie', 'Simulation']","Once you get tangled with the mob, you will forever be a part of the mob. At least they pay a decent salary and all you have to do is clean up after their dirty work, but you know what you re doing. So clean crime scenes, earn as much money as you can, and get ready for the next mission.",16,35,Intel Core i5-7500,Intel Core i5-7500,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,19760,19760,10081,10081,10081,Crime Scene Cleaner
"['RPG', 'Adventure']","DREDGE is a single-player fishing adventure with a sinister undercurrent. Sell your catch, upgrade your boat, and dredge the depths for long-buried secrets. Explore a mysterious archipelago and discover why some things are best left forgotten.",4,2,Intel Core i3-2100,Intel Core i3-2100,AMD Radeon HD 6570,AMD Radeon HD 6570,AMD Radeon HD 6570,12419,12419,558,558,558,Dredge
"['Action', 'Casual', 'Indie']","A visually lifelike co-op horror for 1-6 people. Journey through 9 procedurally generated levels, using whats available to survive and progress deeper into the Backrooms.",4,15,Intel Core i5-4430,Intel Core i5-4430,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,25352,25352,6115,6115,6115,Backrooms: Escape Together
"['Action', 'Indie', 'Adventure']",Relive Half-Life.,6,20,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,AMD Radeon HD 5450,AMD Radeon HD 5450,AMD Radeon HD 5450,594,594,136,136,136,Black Mesa
"['Action', 'Adventure', 'FPS']","Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal.",3,9,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,ATI Radeon HD 5850,ATI Radeon HD 5850,ATI Radeon HD 5850,594,594,1968,1968,1968,Dishonored Definitive Edition
"['Racing', 'Sports', 'Simulation']","Experience the thrill of the 2024 rally season with new locations, moments, stages, high-performance vehicles, new liveries, and licensed crews. Brace yourself to embark on your continued rally journey.",8,110,Intel Core i5-9600K,Intel Core i5-9600K,AMD Radeon RX Vega 56,AMD Radeon RX Vega 56,AMD Radeon RX Vega 56,27629,27629,13083,13083,13083,WRC
"['Action', 'Strategy', 'Indie']",SCP: 5K is a co-op or singleplayer tactical horror FPS project that puts players in the midst of a conspiracy where the SCP Foundation has turned on humanity. Enjoy Early Access as we continue to work towards a completed full release of the project!,12,30,Intel Core i5-1300F,Intel Core i5-1300F,AMD Radeon R5 M230,AMD Radeon R5 M230,AMD Radeon R5 M230,25081,25081,418,418,418,SCP: Pandemic
['Unknown'],"From the creators of Batman: Arkham, Suicide Squad: Kill the Justice League is a genre-defying third-person action shooter where the ultimate band of misfits must do the impossible: Kill the Justice League.",16,65,Intel Core i5-8400,Intel Core i5-8400,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,19102,19102,13498,13498,13498,Suicide Squad: Kill the Justice League
['Unknown'],A five-part adventure horror series set in the same universe as Robert Kirkman s award-winning comic book series.,3,2,Intel Pentium 4 2.00GHz,Intel Pentium 4 2.00GHz,NVIDIA GeForce 7200 GS,NVIDIA GeForce 7200 GS,NVIDIA GeForce 7200 GS,133,133,23,23,23,The Walking Dead
"['Action', 'RPG', 'FPS']","London, 1918. You are newly-turned Vampyr Dr. Jonathan Reid. As a doctor, you must find a cure to save the city s flu-ravaged citizens. As a Vampyr, you are cursed to feed on those you vowed to heal.",8,20,Intel Core i3-2130,Intel Core i3-2130,AMD Radeon R7 370,AMD Radeon R7 370,AMD Radeon R7 370,12419,12419,4494,4494,4494,Vampyr
"['Action', 'FPS', 'Third-person shooter']","In Warhammer 40,000 Space Marine you are Captain Titus, a Space Marine of the Ultramarines chapter and a seasoned veteran of countless battles.",1,20,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,594,594,462,462,462,"Warhammer 40,000: Space Marine"
['Unknown'],"Bus Simulator 21 Next Stop offers the most comprehensive bus fleet in the history of the series with 30 officially licensed buses. Drive on two vastly different maps, alone or with friend. Play with extended management elements or just enjoy your time on the road.",8,18,Intel Core i3-2120,Intel Core i3-2120,,,,12419,12419,0,0,0,Bus Simulator 21
"['Indie', 'Simulation', 'Sexual Content']","Welcome to the Game is a creepy horror/puzzle game that takes you into the world of the Deep Web. Explore the Deep Web with the sole purpose of trying to find a Red Room, an online service / website that allows you to see and participate in interactive torture and murder.",2,3,Intel Pentium 4 4.00GHz,Intel Pentium 4 4.00GHz,,,,133,133,0,0,0,Welcome to the Game
"['RPG', 'Indie']",This game centers around a colorfully randomized ball which players must navigate along a winding path.,4,0,Intel Core i5-1300F,Intel Core i5-1300F,NVIDIA GeForce 9800 GT,NVIDIA GeForce 9800 GT,NVIDIA GeForce 9800 GT,25081,25081,453,453,453,Manual
['Unknown'],"The game subscription service from Microsoft that lets you play over 100 high-quality PC games on Windows 10, plus giving you access EA Play.",8,150,Intel Core i5-8300H,Intel Core i5-8300H,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,21876,21876,5030,5030,5030,Game Pass
"['Action', 'Indie', 'Free to Play']","An epic platform fighter for up to 8 players online or local. Try casual free-for-alls, ranked matches, or invite friends to a private room. And its free! Play cross-platform with millions of players on PlayStation, Xbox, Nintendo Switch, iOS, Android & Steam! Frequent updates. Over sixty Legends.",1,1,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,,,Intel HD 3000,594,594,260,260,260,Brawlhalla
"['Strategy', 'RPG', 'Adventure']","Emperor Edition is the definitive edition of ROME II, featuring an improved politics system, overhauled building chains, rebalanced battles and improved visuals in both campaign and battleEmperor Edition contains all free feature updates since its release in 2013, which includes bug fixes, balancing, Twitch.",2,35,Intel Core 2 Duo T5750,Intel Core 2 Duo T5750,NVIDIA GeForce 7200 GS,NVIDIA GeForce 7200 GS,NVIDIA GeForce 7200 GS,594,594,23,23,23,Total War: ROME II - Emperor Edition
"['Action', 'Strategy', 'RPG']","A free-roaming squad based RPG. Focusing on open-ended sandbox gameplay features rather than a linear story. Be a trader, a thief, a rebel, a warlord, an adventurer, a farmer, a slave, or just food for the cannibals. Train your men up from puny victims to master warriors.",6,14,Intel Core 2 Duo U7600,Intel Core 2 Duo U7600,NVIDIA GeForce 510,NVIDIA GeForce 510,NVIDIA GeForce 510,594,594,290,290,290,Kenshi
"['Action', 'Racing', 'Indie']","Run fast, soar through the air, and master your landings as you speed through procedural worlds to outrun the end of the universe!",8,4,Intel Core i5-2400,Intel Core i5-2400,,,,19102,19102,0,0,0,HASTE: Broken Worlds
"['Action', 'RPG', 'Indie']","Uncover the Past, Reforge the Future. Ascend into one of 15 mastery classes and explore dangerous dungeons, hunt epic loot, craft legendary weapons, and wield the power of over a hundred transformative skill trees. Last Epoch is being developed by a team of passionate Action RPG enthusiasts.",8,22,Intel Core i5-2500,FX-4350,NVIDIA GeForce GTX 1060,Radeon RX 580,NVIDIA GeForce GTX 1060,19760,3176,10081,8822,10081,Last Epoch
"['Simulation', 'Early Access']","Open your own local game store. Stock shelves with the latest booster packs, or crack them and collect the cards for yourself. Set your own prices, hire staff, host events, and expand your card shop.",8,5,Intel Core i5-3550,Intel Core i5-3550,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,31430,31430,5030,5030,5030,TCG Card Shop Simulator
"['Action', 'Adventure', 'Simulation']","ICARUS is a PvE survival game for up to eight players. Explore a savage wilderness in the aftermath of terraforming gone wrong. Survive the Open World, complete timed Missions or build your Outpost. Explore, build, craft and hunt while seeking your fortune and prospecting for exotic matter.",16,70,Intel Core i5-8400,Intel Core i5-8400,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,19102,19102,10081,10081,10081,Icarus
"['Sports', 'Simulation', 'MMO']",Fishing Planet is a free-to-play and highly realistic first-person online multiplayer fishing simulator. Developed by avid fishing enthusiasts to bring you the full thrill of actual angling on your PC.,4,12,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,,,Intel HD 4600,594,594,629,629,629,Fishing Planet
"['Racing', 'Sports', 'Simulation']","Assetto Corsa Competizione, the official GT World Challenge videogame. Thanks to the extraordinary quality of simulation, you will experience the atmosphere of the GT3 championship. Compete against official drivers, teams, cars and official circuits reproduced to the highest quality ever seen.",4,50,Intel Core i5-4460,Intel Core i5-4460,AMD Radeon RX 460,AMD Radeon RX 460,AMD Radeon RX 460,25352,25352,4092,4092,4092,Assetto Corsa Competizione
"['Strategy', 'Simulation']","Frostpunk is the first society survival game. As the ruler of the last city on Earth, it is your duty to manage both its citizens and infrastructure. What decisions will you make to ensure your societys survival? What will you do when pushed to breaking point? Who will you become in the process?",4,8,Intel Core 2 Duo E8700,Intel Core 2 Duo E8700,AMD Radeon R7 370,AMD Radeon R7 370,AMD Radeon R7 370,594,594,4494,4494,4494,Frostpunk
"['Action', 'Strategy', 'Turn-based']","Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.",5,60,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,ATI Radeon HD 5770,ATI Radeon HD 5770,ATI Radeon HD 5770,594,594,1345,1345,1345,Total War: WARHAMMER II
"['Action', 'Casual', 'Free to Play']","Run, jump, and climb using only your hands. Play tag or infection with people online. Run away from the infected players, or outmaneuver the survivors to catch them. Embrace your inner ape.",4,1,Intel Core i5-4590,Intel Core i5-4590,,,,31400,31400,0,0,0,Gorilla Tag
"['Action', 'Racing', 'Indie']","Face the supernatural dangers of the Olympic Exclusion Zone with a car as your only lifeline in this driving survival adventure! Scavenge resources, load up your trusty station wagon, and drive like hell to make it through alive.",16,18,Intel Core i5-8600,Intel Core i5-8600,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,NVIDIA GeForce GTX 1060,21435,21435,10081,10081,10081,Pacific Drive
['Unknown'],"The best-selling franchise takes a giant leap forward with a complete overhaul of the graphics engine, offering the most striking and immersive visuals and effects, along with the deepest and most complete farming experience ever.",4,20,Intel Core i3-2100T,Intel Core i3-2100T,AMD Radeon HD 7770,AMD Radeon HD 7770,AMD Radeon HD 7770,12537,12537,2174,2174,2174,Farming Simulator 19
"['Action', 'Strategy', 'Indie']","One-armed robber is a chaotic first-person heist game that centers around a uniquely challenging premise. Players take the role of a determined robber equipped with only one arm, tasked with pulling off daring heists on banks, shops, and various establishments.",4,1,Intel Core i5-4590,Intel Core i5-4590,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,31400,31400,4806,4806,4806,One-armed robber
['Unknown'],A heros destiny is written in the Stars. The legendary KONAMI JRPGs Suikoden I and Suikoden II have now been remastered in HD!,8,16,Intel Core i5-4440,Intel Core i5-4440,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,25352,25352,5030,5030,5030,Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars
"['Action', 'Racing', 'Adventure']","The Definitive Edition of the critically acclaimed, award winning open-world action adventure, reworked, rebuilt and re-mastered for the new generation. With all previously available DLC included and a wealth of tech and visual improvements, Hong Kong has never felt so alive.",4,20,Intel Core 2 Duo E4600,Intel Core 2 Duo E4600,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,NVIDIA GeForce 8800 GT,594,594,462,462,462,Sleeping Dogs: Definitive Edition
"['RPG', 'FPS', 'JRPG']",Final Fantasy XIII is a fantasy RPG in which a band of brave humans struggle against fate in the utopian sky city of Cocoon and the primeval world of Pulse. Follow stylish heroine Lightnings fast paced battles and high adventure in a mysterious new world.,1,60,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,,,,594,594,0,0,0,FINAL FANTASY XIII
"['Action', 'Indie', 'Adventure']","Take over the duties of a border guard inspector in a communist country of the 80s. Smuggling, corruption and forgery are the order of the day here. Be vigilant and earn the respect of your superiors.",12,12,Intel Core i5-6600,Intel Core i5-6600,,,,21435,21435,0,0,0,Contraband Police
"['Action', 'Strategy', 'Casual']","Place yourself at the heart of the Jurassic franchise and build your own Jurassic World. Bioengineer dinosaurs that think, feel and react intelligently to the world around them and face threats posed by espionage, breakouts and devastating tropical storms in an uncertain world where life always finds a way.",8,8,Intel Core i5-2300,Intel Core i5-2300,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,14365,14365,5030,5030,5030,Jurassic World Evolution
"['Action', 'RPG', 'Indie']","Survive your evolution in Neogene Africa starting 10 million years ago. Ancestors: The Humankind Odyssey is a third-person open world survival game where you Explore, Expand, and Evolve to advance your clan to the next generation in the exciting new adventure from Panache Digital Games.",8,0,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,NVIDIA GeForce GTX 760,19760,19760,4806,4806,4806,Ancestors: The Humankind Odyssey
"['Action', 'FPS']","Ryse: Son of Rome tells the story of Marius Titus, a young Roman soldier who witnesses the murder of his family at the hands of barbarian bandits, then travels with the Roman army to Britannia to seek revenge.",4,26,Intel Core i5 750S,Intel Core i5 750S,AMD Radeon HD 5450,AMD Radeon HD 5450,AMD Radeon HD 5450,1326,1326,136,136,136,Ryse: Son of Rome
"['Indie', 'Adventure']","Embark on a new narrative journey by the creators of Life is Strange. Film your summer of 1995 and create memories of a lifetime with your new friends. 27 years later, confront the dark secrets that made you all promise to never speak again after that fateful summer.",8,48,Intel Core i7-2700K,Intel Core i7-2700K,,,,34465,34465,0,0,0,Lost Records: Bloom & Rage
"['Action', 'Adventure', 'FPS']","Detective Sebastian Castellanos has lost everything, including his daughter, Lily. To save her, he must descend into the nightmarish world of STEM. Horrifying threats emerge from every corner, and he must rely on his wits to survive. For his one chance at redemption, the only way out is in.",8,40,Intel Core i5-2400,Intel Core i5-2400,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,19102,19102,4023,4023,4023,The Evil Within 2
"['Racing', 'Sports', 'Simulation']","F1 2019, the official videogame, challenges you to defeat your rivals in the most ambitious F1 game in Codemasters history. F1 2019 features all the official teams, drivers and all 21 circuits from the season. This year sees the inclusion of F2 with players able to compete in the 2018 season.",8,80,Intel Core i3-2130,Intel Core i3-2130,NVIDIA GeForce GTX 750,NVIDIA GeForce GTX 750,NVIDIA GeForce GTX 750,12419,12419,3334,3334,3334,F1® 2019
"['Action', 'Adventure']",Become the Blade that Destroys Demons!,6,25,Intel Core i5-2400,Intel Core i5-2400,,,,19102,19102,0,0,0,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles
"['Action', 'Adventure', 'FPS']",Become the ultimate shape-shifting weapon!,2,10,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,ATI Radeon HD 4850,ATI Radeon HD 4850,ATI Radeon HD 4850,594,594,941,941,941,Prototype 2
"['Action', 'Strategy']","Discover the mysteries of Minecraft Legends, a new action strategy game. Explore a gentle land of rich resources and lush biomes on the brink of destruction. The ravaging piglins have arrived, and it s up to you to inspire your allies and lead them in strategic battles to save the Overworld!",8,24,Intel Core i5-650,Intel Core i5-650,,,Intel HD 520,2254,2254,864,864,864,Minecraft Legends
"['RPG', 'FPS']","When history tells the story of the Fifth Blight, what will be said about the hero who turned the tide against the darkspawn? Determine your legacy and fight for Thedas as a noble dwarf, an elf far from home, a mage apprentice, or a customized hero of your own design.",1,20,Intel Pentium 4 1.60GHz,Intel Pentium 4 1.60GHz,AMD Radeon X1550,AMD Radeon X1550,AMD Radeon X1550,84,84,66,66,66,Dragon Age: Origins
"['Action', 'RPG', 'Casual']","Dragon Nest is a free-to-play 3D action-adventure game operated by Shengqu Games. With its unique control scheme, stunning game visuals, fast-paced combo combat, and intense PVP experiences, Dragon Nest has become a highly popular action-adventure game.",8,15,Intel Core i3-530,Intel Core i3-530,,,,8553,8553,0,0,0,DragonNest
"['Casual', 'Indie']",Stream Games is a set of mini games that Twitch Streamers can play with their viewers interaction,0,1,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,,,,594,594,0,0,0,Stream Games
"['Sports', 'Indie', 'Simulation']","Live the life of a professional footballer both on and off the field. Train, play matches, manage your social life, climb the career ladder, and spend your earned money. Decorate your life with luxury while managing your relationships and finances.",8,5,Intel Core i5-7500,Intel Core i5-7500,,,,19760,19760,0,0,0,Football Life Simulator
